,location_id,location_code,1995,gdp_over_exports,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99
20,222,TTO,9240000000.0,48.00943853091534,51145,13367783,14118,0,9278,0,19905,0,70537,7517,177699,4480,325945,1433568,9698,0,0,0,195913,213220,691131,1158675,5634656,1969294,66649,44295,0,50720,1111609,143048,27947,17495,6380,11501,1789,138481,397518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164297677,0,0,15467,0,0,0,52232,313683,0,0,0,42036,219213,63030,16275,2158,0,7292,2095,6737,52266,0
21,145,MNG,3430000000.0,73.32564262069438,0,4741,0,0,0,0,0,0,0,0,0,0,0,5842,0,0,0,0,0,4274,0,7710,0,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5998348,653444,27540954,424757,470507,11340370,0,0,0,0,0,0,0,0,0,0,0,14884,153421,0,156954,0,0,0,0,0,0,0,0,0
22,177,POL,268000000000.0,175.13663792900329,9480460,36200083,114648778,81796,9707946,15868629,19442723,6333701,5825195,363872,79351903,35971,85860982,62610287,11486419,12690686,3037071,4759,38056267,4099628,292426,26325712,56646293,57127997,77137917,9075266,8690909,7787835,54677128,1850676,1394104,10801478,55318201,328217,0,1483415,67217741,4979,0,126303,21677264,238804,460891,19367867,2499625,1339068,1035954,0,9414,2876939,335880,4517837,171806532,577834,25720746,10687053,35803475,6407085,1590514,730940,697764,70564717,11158789,21112846,19510133,78298355,17503045,38252,2519812,19907633,7549486,9913949,845871,7628660,3826996
23,130,LTU,20300000000.0,130.6638321926756,514655,8236821,2710227,0,216453,2113108,1918138,844026,512643,23264,1556135,2635,2641613,252956,444228,66244,892209,40931,1370321,699414,201619,1808522,5854363,14264020,5352016,20544,185580,114501,2617324,6047984,631738,24736774,2164879,376681,0,974430,1355676,9082,0,0,627962,1269446,56822,616854,145790,260030,1462832,469770,0,308969,0,3521,37481944,0,652442,192967,277234,48362,14675,66731,0,772001,131909,8506901,1015606,2176721,1190227,14978,28405,2720838,1296705,221464,31753,1324176,200724
24,58,CYP,15300000000.0,145.5876660413058,26659,50227,177403,0,173058,82771,185313,15770,30231,65377,632894,116422,2149253,987857,286387,22039,159072,90277,245078,2983860,9440,1033388,2728320,3486477,250903,3895380,3656,2415,779829,31288453,36408749,2879761,49196,8609642,33030,718478,597769,0,0,74450,72953,18500,10667,29446,61181,402347,32181,0,0,1684,0,0,15798,0,0,36524,1010,0,23553,425259,2705,1187983,2479,233593,39302,227696,208098,561194,0,68449,48321,17458,0,15502,18153
25,24,BHR,12900000000.0,152.93634039057878,626639,2032,1410,0,13687,0,0,0,0,0,0,0,56892,716373,0,0,1633,0,12440,103219,2304,463990,6462618,87590,0,0,10248,0,116789,0,0,0,15064,22929,0,0,11257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65974839,0,0,0,0,0,0,87591,9517,0,0,0,24637,9168809,303974,0,13611,2633,0,1527,0,17842,16727
26,102,HUN,92700000000.0,89.6494762055276,13046730,6874776,23479289,733292,11804604,23529528,58104480,1892235,8598233,133257,872534,170528,6108490,80864812,3727284,2237543,3562171,5501097,9710719,4562805,377823,11932199,43569818,65332115,27492627,9239568,19418923,111496,132205118,56703,50851,267472,10863693,319814,1895,3320025,40958371,1211,0,0,10373650,7229705,3019674,70573,705537,5457623,1302105,885519,31930,514386,1000841,112257,8434873,29381,736617,18104303,28162183,6828184,28485251,33352873,10546979,118375074,622928,3046928,13675203,4063276,37227475,62667,156127,693422,44042602,3878070,21473,7417084,4326333
27,116,KEN,24500000000.0,170.25888001693414,296448,7486665,103246,0,76694,46137,15429,1844,18823,0,16804,57579,391355,1084973,38911,31401,154097,0,6061,146936,15082,6279582,3696651,59137364,1935847,276393,123136,5850,14558290,23694,135541,463799,7431,38524,13957,8045756,17185134,14246396,62374,23172,160171,20351,368589,0,15858,1013590,113566,0,0,238118,0,40718,991943,5928,0,137547,30512,16830,11414,42377,23252,62850,24725,0,140993,2741006,874858,0,16104,39456,199625,74428,10346,103746,132238
28,74,FIN,169000000000.0,85.71607256472149,98454811,2790847,7980383,18839,38109182,12820672,18103816,6749316,43873559,703785,213576211,126430,249827753,136468931,9990475,801576,1215092,441713,9773488,147808552,3942055,148362110,73260759,6292319,1874135,286672,201799,408728,3543188,2935233,1243736,1535499,8144846,1261678,15254,200170,5465518,70261,0,0,801642,73886,43960,167776307,12301439,149525,385498,0,42708,55260,56358,377688,119031017,2952070,50895606,43805051,12491390,2102633,5370240,6477715,9541207,9873137,316453,36517806,11809175,88422449,3335862,36532,4159063,296246,6409272,684460,606325,111274152,4474042
29,174,PHL,116000000000.0,146.8376935579666,8939803,7082499,2159964,0,207048,19031,22801,1992,0,0,12776,0,1268926,4399769,1862074,89282,971841,93132,235232,233007,2686253,10381041,12455075,35561572,749870,3059374,1130858,2562764,2419202,36943,31053,413761226,12700,32128,0,57662965,116351476,57714,24213404,349804,5371530,0,162077,0,5286,33487,0,0,0,9588,63135,17437,25066929,20329,14725,4182481,193366,113620,12474183,1451496,29294,6387830,501972,145348,600667,661859,247347,0,5131331,228664,12381661,844975,293247,184399,2055030
