,location_id,location_code,location_name_short_en,level,parent_id,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
62,85,GIN,Guinea,country,352.0,4350000000.0,4580000000.0,4750000000.0,4930000000.0,5050000000.0,5230000000.0,5510000000.0,5570000000.0,5700000000.0,5880000000.0,5950000000.0,6350000000.0,6610000000.0,6540000000.0,6850000000.0,7240000000.0,7670000000.0,7970000000.0,8260000000.0,8580000000.0,9510000000.0,10500000000.0,11200000000.0,11800000000.0
63,87,GMB,Gambia,country,352.0,900000000.0,944000000.0,977000000.0,1040000000.0,1100000000.0,1160000000.0,1120000000.0,1200000000.0,1280000000.0,1250000000.0,1250000000.0,1290000000.0,1370000000.0,1460000000.0,1540000000.0,1420000000.0,1490000000.0,1530000000.0,1510000000.0,1570000000.0,1610000000.0,1680000000.0,1800000000.0,1910000000.0
64,88,GNB,Guinea-Bissau,country,352.0,811000000.0,863000000.0,621000000.0,627000000.0,661000000.0,676000000.0,669000000.0,673000000.0,691000000.0,721000000.0,737000000.0,762000000.0,786000000.0,812000000.0,850000000.0,919000000.0,903000000.0,932000000.0,941000000.0,999000000.0,1060000000.0,1120000000.0,1140000000.0,1190000000.0
65,89,GNQ,Equatorial Guinea,country,352.0,734000000.0,1830000000.0,2270000000.0,2850000000.0,3370000000.0,5510000000.0,6580000000.0,7500000000.0,10400000000.0,12100000000.0,13000000000.0,15000000000.0,17700000000.0,17900000000.0,16300000000.0,17400000000.0,18800000000.0,18000000000.0,18100000000.0,16500000000.0,15000000000.0,14200000000.0,13300000000.0,12500000000.0
66,90,GRC,Greece,country,355.0,214000000000.0,224000000000.0,233000000000.0,240000000000.0,249000000000.0,260000000000.0,270000000000.0,286000000000.0,300000000000.0,302000000000.0,319000000000.0,329000000000.0,328000000000.0,314000000000.0,297000000000.0,267000000000.0,248000000000.0,241000000000.0,243000000000.0,242000000000.0,241000000000.0,244000000000.0,247000000000.0,252000000000.0
67,91,GRD,Grenada,country,356.0,491000000.0,516000000.0,576000000.0,616000000.0,646000000.0,633000000.0,655000000.0,717000000.0,712000000.0,807000000.0,775000000.0,822000000.0,830000000.0,775000000.0,771000000.0,777000000.0,768000000.0,786000000.0,844000000.0,898000000.0,932000000.0,973000000.0,1010000000.0,1030000000.0
68,92,GRL,Greenland,country,356.0,1520000000.0,1550000000.0,1670000000.0,1690000000.0,1810000000.0,1830000000.0,1810000000.0,1890000000.0,2029999999.9999998,2130000000.0,2240000000.0,2300000000.0,2440000000.0,2460000000.0,2500000000.0,2490000000.0,2530000000.0,2490000000.0,2610000000.0,2540000000.0,2660000000.0,2680000000.0,2760000000.0,28465000000.0
69,93,GTM,Guatemala,country,356.0,24800000000.0,25900000000.0,27200000000.0,28300000000.0,29300000000.0,30000000000.0,31100000000.0,31900000000.0,32900000000.0,34000000000.0,35800000000.0,38100000000.0,39300000000.0,39500000000.0,40700000000.0,42400000000.0,43600000000.0,45200000000.0,47300000000.0,49200000000.0,50500000000.0,52100000000.0,53800000000.0,55900000000.0
70,95,GUM,Guam,country,354.0,13680000000.0,14310000000.0,14940000000.0,15525000000.0,16010000000.0,16390000000.0,4370000000.0,4410000000.0,4700000000.0,4870000000.0,4690000000.0,4720000000.0,4820000000.0,4840000000.0,4950000000.0,4950000000.0,5060000000.0,5140000000.0,5240000000.0,5280000000.0,5290000000.0,5340000000.0,5290000000.0,5390000000.0
71,96,GUY,Guyana,country,357.0,2560000000.0,2720000000.0,2680000000.0,2750000000.0,2720000000.0,2780000000.0,2810000000.0,2790000000.0,2840000000.0,2780000000.0,2920000000.0,3130000000.0,3180000000.0,3310000000.0,3430000000.0,3620000000.0,3810000000.0,3950000000.0,4019999999.9999995,4040000000.0,4200000000.0,4360000000.0,4550000000.0,4790000000.0
